username,password,role,employeeId
admin,password,Admin,0
Manuel01,10001,Employee,1
Antonio02,10002,Employee,2
Bianca03,10003,Employee,3
Isabella04,10004,Employee,4
Eduard05,10005,Employee,5
Andrea06,10006,Employee,6
Brad07,10007,Employee,7
Alice08,10008,Employee,8
Rosie09,10009,Employee,9
Roderik10,10010,Employee,10
Anthony11,10011,Employee,11
Josie12,10012,Employee,12
Martha13,10013,Employee,13
Leila14,10014,Employee,14
Fredrick15,10015,Employee,15
Christian16,10016,Employee,16
Selena17,10017,Employee,17
Allison18,10018,Employee,18
Cydney19,10019,Employee,19
Mark20,10020,Employee,20
Darlene21,10021,Employee,21
Kolby22,10022,Employee,22
Vella23,10023,Employee,23
Tomas24,10024,Employee,24
Jacklyn25,10025,Employee,25
Percival26,10026,Employee,26
Garfield27,10027,Employee,27
Lizeth28,10028,Employee,28
Carol29,10029,Employee,29
Emelia30,10030,Employee,30
Delia31,10031,Employee,31
John32,10032,Employee,32
Carlos33,10033,Employee,33
Beatriz34,10034,Employee,34
